contestant;age;location;season;miss-congeniality;casting-special;design;girl-groups;improv;improv-2;runway;choreo;advert;advert-2;makeover;singing;singing-2;rusical;rusical-2;acting;snatch-game;design-2;design-3;stand-up;talent-show;acting-2;main-ball;ball-2;chapter-ball-recap;music-video;Lip Sync;rumix;finale
A'KeriaChanelDavenport;30;"Dallas,
TX";11;0;N/A;HIGH;N/A;BTM6;WIN;N/A;"HIGH
TEAM";N/A;N/A;HIGH;N/A;N/A;SAFE;N/A;SAFE;SAFE;BTM2;N/A;SAFE;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;HIGH;LOST2NDROUND
SilkyNutmegGanache;28;"Chicago,
IL";11;0;N/A;"SAFE


MiniChall.Winner";N/A;"HIGH
TEAM";HIGH;N/A;SAFE;N/A;N/A;BTM2;N/A;N/A;WIN;N/A;"SAFE

TeamCaptain";"WIN


MiniChall.Winner";SAFE;N/A;LOW;N/A;N/A;LOW;N/A;N/A;N/A;N/A;LOW;LOST1STROUND
VanessaVanjieMateo;26;"Los Angeles,
CA";11;0;N/A;HIGH;N/A;"HIGH
TEAM";BTM2;N/A;LOW;N/A;N/A;HIGH;N/A;N/A;LOW;N/A;SAFE;LOW;SAFE;N/A;"BTM2


MiniChall.Winner";N/A;N/A;SAFE;N/A;N/A;N/A;N/A;ELIM;GUEST
NinaWest;39;"Columbus,
OH";11;1;N/A;LOW;N/A;"WIN

TeamCaptain";SAFE;N/A;"HIGH
TEAM";N/A;N/A;ELIM;N/A;N/A;SAFE;N/A;SAFE;HIGH;"LOW 


MiniChall.Winner";N/A;WIN;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;MISSCON
ShugaCain;40;"New York,
NY";11;0;N/A;SAFE;N/A;BTM6;LOW;N/A;"SAFE

TeamCaptain";N/A;N/A;GUEST;N/A;N/A;SAFE;N/A;HIGH;HIGH;"SAFE


MiniChall.Winner";N/A;ELIM;N/A;N/A;BTM2;N/A;N/A;N/A;N/A;;GUEST
PlastiqueTiara;21;"Dallas,
TX";11;0;N/A;HIGH;N/A;BTM6;ELIM;N/A;BTM2;N/A;N/A;GUEST;N/A;N/A;SAFE;N/A;HIGH;SAFE;WIN;N/A;;N/A;N/A;HIGH;N/A;N/A;N/A;N/A;;GUEST
Ra'JahO'Hara;33;"Dallas,
TX";11;0;N/A;SAFE;N/A;"BTM6

TeamCaptain";;N/A;ELIM;N/A;N/A;;N/A;N/A;BTM2;N/A;SAFE;;ELIM;N/A;;N/A;N/A;"SAFE


MiniChall.Winner";N/A;N/A;N/A;N/A;;GUEST
ScarletEnvy;26;"Brooklyn,
NY";11;0;N/A;SAFE;N/A;BTM6;;N/A;N/A;N/A;N/A;GUEST;N/A;N/A;"SAFE


MiniChall.Winner";N/A;WIN;;;N/A;;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;GUEST
ArielVersace;26;"Cherry Hill,
NJ";11;0;N/A;SAFE;N/A;"HIGH
TEAM";;N/A;N/A;N/A;N/A;GUEST;N/A;N/A;SAFE;N/A;LOW;;;N/A;;N/A;N/A;ELIM;N/A;N/A;N/A;N/A;;GUEST
MercedesImanDiamond;31;"Minneapolis,
MN";11;0;N/A;LOW;N/A;"HIGH
TEAM";;N/A;N/A;N/A;N/A;;N/A;N/A;ELIM;N/A;BTM2;;;N/A;;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Honey Davenport;32;"New York,
NY";11;0;N/A;SAFE;N/A;ELIM;;N/A;N/A;N/A;N/A;GUEST;N/A;N/A;;N/A;SAFE;;;N/A;;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Kahanna Montrese;25;"Las Vegas,
NV";11;0;N/A;BTM2;N/A;;;N/A;N/A;N/A;N/A;;N/A;N/A;;N/A;ELIM;;;N/A;;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Soju;27;"Chicago,
IL";11;0;N/A;ELIM;N/A;;;N/A;N/A;N/A;N/A;GUEST;N/A;N/A;;N/A;;;;N/A;;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
"JaidaEssence Hall
(Group 2)";32;"Milwaukee,
WI";12;0;N/A;N/A;N/A;"SAFE

TeamCaptain";WIN;N/A;N/A;HIGH;N/A;WIN;N/A;N/A;SAFE;N/A;SAFE;SAFE;N/A;N/A;BTM2;N/A;N/A;HIGH;N/A;N/A;N/A;N/A;;WINNER
"CrystalMethyd
(Group 1)";28;"Springfield,
MO";12;0;N/A;N/A;N/A;LOW;HIGH;N/A;N/A;HIGH;N/A;HIGH;N/A;N/A;HIGH;N/A;SAFE;LOW;N/A;N/A;WIN;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;SAFE;RUNNERUP
"GigiGoode
(Group 1)";21;"Los Angeles,
CA";12;0;N/A;N/A;N/A;SAFE;LOW;N/A;N/A;"LOW 


MiniChall.Winner";N/A;SAFE;N/A;N/A;WIN;N/A;HIGH;WIN;N/A;N/A;SAFE;N/A;N/A;"WIN


MiniChall.Winner";N/A;N/A;N/A;N/A;TOP2;RUNNERUP
"Sherry Pie
(Group 2)";27;New York, NY;12;0;N/A;N/A;N/A;WIN;SAFE;N/A;N/A;LOW;N/A;HIGH;N/A;N/A;SAFE;N/A;WIN;HIGH;N/A;N/A;LOW;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;
"Jackie Cox
(Group 1)";34;New York, NY;12;0;N/A;N/A;N/A;HIGH;"BTM2


MiniChall.Winner";N/A;N/A;"HIGH 


MiniChall.Winner";N/A;BTM2;N/A;N/A;LOW;N/A;HIGH;HIGH;N/A;N/A;"HIGH 


MiniChall.Winner";N/A;N/A;SAFE;N/A;N/A;N/A;N/A;HIGH;GUEST
"Heidi NCloset
(Group 1)";24;"Ramseur,
NC";12;1;N/A;N/A;N/A;"HIGH 

TeamCaptain";HIGH;N/A;N/A;WIN;N/A;BTM2;N/A;N/A;BTM2;N/A;BTM2;SAFE;N/A;N/A;ELIM;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;LOW;MISSCON
"WidowVon'Du
(Group 1)";30;"Kansas City,
MO";12;0;N/A;N/A;N/A;"SAFE

TeamCaptain";ELIM;N/A;N/A;BTM2;N/A;;N/A;N/A;SAFE;N/A;HIGH;SAFE;N/A;N/A;;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;WIN;GUEST
"Jan
(Group 2)";26;New York, NY;12;0;N/A;N/A;N/A;SAFE;;N/A;N/A;ELIM;N/A;;N/A;N/A;HIGH;N/A;HIGH;SAFE;N/A;N/A;;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;GUEST
"Brita
(Group 1)";34;New York, NY;12;0;N/A;N/A;N/A;SAFE;;N/A;N/A;;N/A;;N/A;N/A;ELIM;N/A;LOW;BTM2;N/A;N/A;;N/A;N/A;BTM2;N/A;N/A;N/A;N/A;HIGH;GUEST
"AidenZhane
(Group 2)";29;"Acworth,
GA";12;0;N/A;N/A;N/A;"SAFE

TeamCaptain";;N/A;N/A;;N/A;;N/A;N/A;;N/A;HIGH;ELIM;N/A;N/A;;N/A;N/A;LOW;N/A;N/A;N/A;N/A;;GUEST
"Nicky Doll
(Group 1)";28;New York, NY;12;0;N/A;N/A;N/A;BTM2;;N/A;N/A;;N/A;;N/A;N/A;;N/A;ELIM;;N/A;N/A;;N/A;N/A;HIGH;N/A;N/A;N/A;N/A;LOW;GUEST
"Rock M.Sakura
(Group 2)";28;"San
Francisco,
CA";12;0;N/A;N/A;N/A;SAFE;;N/A;N/A;;N/A;;N/A;N/A;;N/A;;;N/A;N/A;;N/A;N/A;ELIM;N/A;N/A;N/A;N/A;;GUEST
"Dahlia Sin
(Group 2)";28;"Los Angeles,
CA";12;0;N/A;N/A;N/A;ELIM;GUEST;N/A;N/A;;N/A;;N/A;N/A;;N/A;GUEST;GUEST;N/A;N/A;GUEST;N/A;N/A;;N/A;N/A;N/A;N/A;;GUEST
Symone;25;"Los Angeles,
CA";13;0;N/A;N/A;N/A;HIGH;N/A;N/A;SAFE;WIN;N/A;WIN;N/A;N/A;BTM2;N/A;WIN;SAFE;N/A;N/A;N/A;N/A;HIGH;SAFE;N/A;N/A;N/A;WIN;TOP4;WINNER
KandyMuse;25;"New York
City, NY";13;0;N/A;N/A;N/A;HIGH;N/A;N/A;BTM2;"HIGH 


MiniChall.Winner";N/A;HIGH;N/A;N/A;BTM2;N/A;HIGH;SAFE;N/A;N/A;N/A;N/A;BTM2;SAFE;N/A;N/A;N/A;WIN;TOP4;LOST3RDROUND
Gottmik;23;"Los Angeles,
CA";13;0;N/A;N/A;N/A;"SAFE


MiniChall.Winner";N/A;N/A;SAFE;LOW;N/A;HIGH;N/A;N/A;HIGH;N/A;SAFE;WIN;N/A;N/A;N/A;N/A;HIGH;WIN;N/A;N/A;N/A;WIN;TOP4;LOST2NDROUND
Rosé;31;"New York
City, NY";13;0;N/A;N/A;N/A;SAFE;N/A;N/A;SAFE;WIN;N/A;LOW;N/A;N/A;WIN;N/A;HIGH;HIGH;N/A;N/A;N/A;N/A;WIN;HIGH;N/A;N/A;N/A;LOSS;TOP4;LOST1STROUND
Olivia Lux;26;"New York
City, NY";13;0;;;;WIN;N/A;;WIN;LOW;;BTM2;;;SAFE;;SAFE;LOW;;;;;ELIM;SAFE;;;;WIN;TOP4;GUEST
UticaQueen;25;"Minneapolis,
MN";13;0;N/A;N/A;N/A;LOW;N/A;N/A;LOW;BTM2;N/A;WIN;N/A;N/A;SAFE;N/A;SAFE;BTM2;N/A;N/A;N/A;N/A;HIGH;HIGH;N/A;N/A;N/A;LOSS;TOP4;GUEST
TinaBurner;40;"New York
City, NY";13;0;N/A;N/A;N/A;SAFE;N/A;N/A;HIGH;ELIM;N/A;LOW;N/A;N/A;LOW;N/A;SAFE;"SAFE


MiniChall.Winner";N/A;N/A;N/A;N/A;BTM2;SAFE;N/A;N/A;N/A;WIN;TOP4;GUEST
Denali;28;Chicago, IL;13;0;N/A;N/A;N/A;SAFE;N/A;N/A;SAFE;;N/A;ELIM;N/A;N/A;HIGH;N/A;BTM2;HIGH;N/A;N/A;N/A;N/A;HIGH;SAFE;N/A;N/A;N/A;LOSS;TOP4;GUEST
Elliottwith 2 Ts;26;"Las Vegas,
NV";13;0;N/A;N/A;N/A;BTM2;N/A;N/A;"HIGH 


MiniChall.Winner";;N/A;;N/A;N/A;SAFE;N/A;SAFE;ELIM;N/A;N/A;N/A;N/A;WIN;SAFE;N/A;N/A;N/A;LOSS;TOP4;GUEST
LaLa Ri;30;"Atlanta,
GA";13;1;N/A;N/A;N/A;ELIM;N/A;N/A;SAFE;;N/A;;N/A;N/A;;N/A;LOW;;N/A;N/A;N/A;N/A;ELIM;"BTM2


MiniChall.Winner";N/A;N/A;N/A;WIN;TOP4;MISSCON
TamishaIman;49;"Atlanta,
GA";13;0;N/A;N/A;N/A;;N/A;N/A;"ELIM


MiniChall.Winner";;N/A;;N/A;N/A;;N/A;SAFE;;N/A;N/A;N/A;N/A;;LOW;N/A;N/A;N/A;LOSS;TOP4;GUEST
Joey Jay;30;"Phoenix,
AZ";13;0;N/A;N/A;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;N/A;SAFE;;N/A;N/A;N/A;N/A;;ELIM;N/A;N/A;N/A;LOSS;TOP4;GUEST
KahmoraHall;28;Chicago, IL;13;0;N/A;N/A;N/A;;N/A;N/A;;;N/A;;N/A;N/A;;N/A;ELIM;;N/A;N/A;N/A;N/A;;;N/A;N/A;N/A;LOSS;;GUEST
"Willow Pill
(Group 1)";26;"Denver,
CO";14;0;N/A;SAFE;SAFE;"HIGH 


MiniChall.Winner";N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;HIGH;N/A;"HIGH 

TeamCaptain";BTM7;N/A;N/A;N/A;HIGH;HIGH;WIN;N/A;N/A;N/A;"SAFE
(Round 1)";BTM2;WINNER
"Lady Camden
(Group 2)";31;"Sacramento,
CA";14;0;N/A;HIGH;LOW;SAFE;N/A;N/A;N/A;HIGH;N/A;N/A;N/A;N/A;WIN;N/A;SAFE;BTM7;N/A;N/A;N/A;;WIN;SAFE;N/A;N/A;N/A;"SAFE
(Round 2)";WIN;RUNNERUP
"Angeria Paris VanMicheals
(Group 2)";27;"Atlanta,
GA";14;0;N/A;HIGH;HIGH;SAFE;N/A;N/A;N/A;HIGH;N/A;N/A;N/A;N/A;SAFE;N/A;WIN;BTM7;N/A;N/A;N/A;;SAFE;HIGH;N/A;N/A;N/A;"SAFE
(Round 2)";BTM2;ELIM
"Bosco
(Group 1)";28;"Seattle,
WA";14;0;N/A;SAFE;"SAFE


MiniChall.Winner";WIN;N/A;N/A;N/A;WIN;N/A;N/A;N/A;N/A;BTM2;N/A;SAFE;"BTM7


MiniChall.Winner";N/A;N/A;N/A;HIGH;HIGH;SAFE;N/A;N/A;N/A;"SAFE
(Round 3)";LOW;ELIM
"Daya Betty
(Group 2)";25;"Springfield,
MO";14;0;N/A;SAFE;WIN;LOW;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;HIGH;N/A;SAFE;BTM7;N/A;N/A;N/A;;TOP2;"RTRN
+
SAFE";N/A;N/A;N/A;"SAFE
(Round 1)";HIGH;ELIM
"DeJa Skye
(Group 2)";31;"Fresno,
CA";14;0;N/A;LOW;HIGH;HIGH;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;LOW;N/A;HIGH;WIN;N/A;N/A;N/A;;SAFE;SAFE;N/A;N/A;N/A;SAFE;;GUEST
"Jorgeous
(Group 2)";21;"Nashville,
TN";14;0;N/A;WIN;SAFE;BTM2;N/A;N/A;N/A;BTM2;N/A;N/A;N/A;N/A;BTM2;N/A;SAFE;BTM7;N/A;N/A;N/A;;HIGH;HIGH;N/A;N/A;N/A;"SAFE
(Round 1)";;GUEST
"Jasmine Kennedie
(Group 2)";22;"New York City,
NY";14;0;N/A;BTM2;BTM2;BTM2;N/A;N/A;N/A;LOW;N/A;N/A;N/A;N/A;;N/A;SAFE;BTM7;N/A;N/A;N/A;;HIGH;SAFE;N/A;N/A;N/A;ELIM;;GUEST
"Kerri Colby
(Group 1)";24;"Los Angeles,
CA";14;0;N/A;SAFE;ELIM;;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;N/A;BTM2;;N/A;N/A;N/A;"SAFE


MiniChall.Winner";SAFE;SAFE;N/A;N/A;N/A;;;GUEST
"Maddy Morphosis
(Group 2)";26;"Fayetteville,
AR";14;0;N/A;ELIM;;;N/A;N/A;N/A;SAFE;N/A;N/A;N/A;N/A;;N/A;"SAFE

TeamCaptain";;N/A;N/A;N/A;;;BTM2;N/A;N/A;N/A;;;GUEST
"Orion Story
(Group 1)";25;"Grand Rapids,
MI";14;0;N/A;;;;N/A;N/A;N/A;ELIM;N/A;N/A;N/A;N/A;;N/A;SAFE;;N/A;N/A;N/A;ELIM;;"RTRN
+
LOW";N/A;N/A;N/A;;;GUEST
